mode,seed,mask_prob,tier_safety,tier_legality,tier_route,tier_no_regression,tier_progress,tier_comfort,tier_brake_fallback,tier_llm_preference
raw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intent,0,0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
intent,1,0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
intent,2,0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
intent,3,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
intent,4,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
intent,0,0.25,4.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0
